"","p","in_rse","in_r2","in_r2_adj","out_rse","out_r2","out_r2_adj"
"29",141,0.0890215107860559,0.533275931900614,0.349454441392197,0.125156692990097,-0.0225619129017012,-0.128733657908432
"30",146,0.089027284507735,0.539734726876246,0.349370053006364,0.124496625254601,-0.00807916531129882,-0.116859326534839
"31",151,0.0893861443765434,0.542588685682603,0.344114236079364,0.12467989520399,-0.00731298758150545,-0.120149976546496
"32",156,0.0894704700602325,0.548309654627345,0.342876144778557,0.126346891279736,-0.0305921218245677,-0.150303492639633
"33",161,0.0889610413729266,0.559948337389415,0.350337930051236,0.126325544518949,-0.0264083002635942,-0.149914829667509
"34",166,0.0882066218194918,0.573779963068229,0.361309914627766,0.126416395369822,-0.024044051056552,-0.151569416754517
"35",171,0.0885115462892263,0.577272063915547,0.35688646309103,0.126345955056154,-0.0190663104727797,-0.150286445330344
"36",176,0.0880866064272524,0.587703612166421,0.363046756876297,0.127937609379507,-0.0409694661757385,-0.179450665001838
"37",181,0.0871215568494779,0.602931326598273,0.376926830102322,0.12891416410348,-0.0529272567518486,-0.197525005971943
"38",186,0.0863352216938742,0.616197672289258,0.388123445598529,0.128622120129709,-0.0441856923691637,-0.192105371562358
"39",191,0.0847645447423869,0.635945474650302,0.410184389125003,0.125787682796263,0.00513154234393987,-0.140143591763329
"40",196,0.0842910537021112,0.645845435142107,0.416755353583866,0.12515064616546,0.0189474016482917,-0.128624593192027
"41",201,0.0843954397462963,0.650826340394346,0.415309878714023,0.126871240525192,-0.00434460096542533,-0.159870999111843
"42",206,0.0846668411549472,0.654473322635799,0.411543303738101,0.126938220101755,-0.00153243327967356,-0.161095991868701
"43",211,0.0844085543965696,0.662438690896212,0.415128148462534,0.12519901384959,0.0294914554685007,-0.129497133736582
"44",216,0.0844924792114352,0.667639202550144,0.413964530291597,0.125479722640353,0.0289190363144767,-0.134567704259236
"45",221,0.0844998169004741,0.673454591626764,0.413862738207753,0.125418590350962,0.0336457337018893,-0.133462476667346
"46",226,0.0839935702084431,0.68315855879517,0.420864911497399,0.125937217071346,0.0294491996336063,-0.142855969952258
"47",231,0.0834352946427251,0.69308250024376,0.428537938886703,0.127451262219426,0.00987683951050566,-0.170500487045546
"48",236,0.0839629070606178,0.694987293583841,0.421287678700901,0.128211489622597,0.00198073007336041,-0.184505847680153
"49",241,0.0826740581630015,0.709901510300158,0.438918037363484,0.129281677291931,-0.0107326176911327,-0.204362634275841
"50",246,0.082502909969071,0.716700176052461,0.441238687154854,0.131838207992353,-0.0469244383031651,-0.252465868329166
"51",251,0.082319507872529,0.723532260607676,0.443720153400123,0.130347002641367,-0.0192914172118042,-0.224293136538858
"52",256,0.0776127241459435,0.759198394860724,0.505514399323051,0.131312606001127,-0.0303046346609521,-0.242499314044061
"53",261,0.0771386357105484,0.767025647203208,0.51153696619496,0.130635842619826,-0.0156101453474717,-0.229725046749483
"54",266,0.0755577291019117,0.781172970964179,0.531353272579936,0.133878576572206,-0.0623483143035797,-0.291532946586428
"55",271,0.0761243979173665,0.782644898347361,0.524297387172513,0.134247464463588,-0.0638789959979704,-0.298660109935633
"56",276,0.0750591990115376,0.79331928090635,0.537517135301654,0.136522213588047,-0.0957583376701365,-0.343043130145164
"57",281,0.0746020347736965,0.800407099507426,0.543133681900025,0.138856216846254,-0.128910805044074,-0.389357386503339
"58",286,0.0752657440362236,0.801499515312123,0.534968348078635,0.138773597425266,-0.122939033647065,-0.387704543641344
"59",291,0.0742250233627207,0.811482674139444,0.547739684594146,0.138357224947178,-0.111609638662865,-0.379389775128836
"60",296,0.0745193859422625,0.814552141436285,0.544145411707913,0.139392863101247,-0.123643098010824,-0.400117210239589
"61",301,0.0741982050845409,0.820675660900165,0.548066438329204,0.138445748617998,-0.10381870745651,-0.381155461166368
"62",306,0.0749442626707621,0.821671259950779,0.538932428577403,0.137763794059135,-0.0884094844058145,-0.367582411671681
"63",311,0.0745216459205805,0.828244767871345,0.544117761530858,0.138676366550844,-0.098254605664128,-0.385760651423003
"64",316,0.0703164268745011,0.851148941471219,0.594116512536274,0.141960836620625,-0.146049903690228,-0.452179886417288
"65",321,0.0687899098203044,0.86143398342786,0.611548077137653,0.142772812806507,-0.15429816723448,-0.468839518407882
"66",326,0.0690595966442661,0.86426825649668,0.608496300530885,0.142869134389167,-0.150950174613634,-0.470822090149904
"67",331,0.0672473336041789,0.875018230419491,0.628774386781703,0.14524564901871,-0.184488340087076,-0.520160977560383
"68",336,0.0675625791998667,0.87759834360467,0.625285726740677,0.142630340632031,-0.13732670745076,-0.465909487935245
"69",341,0.0639637289109588,0.893656271084362,0.664142273867699,0.139839128731914,-0.0885481959289545,-0.409096498875218
"70",346,0.063095080941084,0.899799547178022,0.673202444717862,0.137068530451612,-0.0413255026804202,-0.353813467925369
"71",351,0.0629903413711756,0.90339560409605,0.674286530026546,0.14078178595668,-0.0937460885471637,-0.428158002379964
"72",356,0.0630704751144809,0.906421626508508,0.673457284110108,0.141027412017812,-0.0927856592643557,-0.433145847101723
"73",361,0.0633372461935293,0.908928038578455,0.670689067033687,0.141113672015084,-0.0893366924605141,-0.434899562388674
"74",366,0.0622943137631885,0.915094523690657,0.681444867079984,0.140293256095195,-0.0719763003846619,-0.418263437137342
"75",371,0.0623537545405247,0.918130443568108,0.680836651097548,0.140982950799603,-0.0777647523752927,-0.432242343803692
"76",376,0.0575813816429647,0.932910195869009,0.727822664541752,0.131946983382201,0.0601460483956107,-0.254533458107729
"77",381,0.0579014990482378,0.934919801002629,0.724787972036542,0.13516617512544,0.0181174616766745,-0.316495460596302
"78",386,0.0584373039791971,0.936518667227254,0.7196709287292,0.134157783352452,0.0370392265306654,-0.296925605957352
"79",391,0.0571120344977238,0.942048288343633,0.732241628550674,0.132087137708678,0.0707287458347181,-0.257200009019637
"80",396,0.0544009496037615,0.949853868438046,0.757059032529953,0.125363624982069,0.166702114601966,-0.132469202367773
"81",401,0.0525422543841077,0.955492753091387,0.773376365230633,0.125127503574417,0.173601378101388,-0.128207226071056
"82",406,0.049256222043886,0.96288133099254,0.800836388873951,0.121572743958427,0.223441309647684,-0.0650150748747678
"83",411,0.0480912503540418,0.96651871950358,0.810145920821434,0.124339688147505,0.191406721172655,-0.114045335443189
"84",416,0.0474955727548042,0.969198518871896,0.814820011049108,0.125923098058889,0.174492656939649,-0.142599729683717
"85",421,0.0472251912364768,0.97138265739236,0.816922385112664,0.125273607905736,0.186758344582003,-0.130843452199979
"86",426,0.0447878602300014,0.97591033623537,0.835332298376024,0.125854787572478,0.183002198241218,-0.141360395933284
"87",431,0.0435197142420207,0.97881306020366,0.844525250612149,0.118412006123171,0.280146012455524,-0.0103568607951028
"88",436,0.0427591199853586,0.981051042739821,0.84991222741541,0.110305719374669,0.378256847059009,0.123242722240314
"89",441,0.0397891719686578,0.984894154238128,0.870037637324588,0.122941587417139,0.231285656533965,-0.0891330820941278
"90",446,0.035746876302802,0.988858611602804,0.895102777166025,0.12781255844523,0.173092155558699,-0.177146114736477
"91",451,0.0340923985890832,0.990822094075896,0.904588019664,0.139347231285519,0.0217729790316148,-0.399200672167566
"92",456,0.0350035209435829,0.991332793014756,0.899420086380538,0.129353673313399,0.161074250242924,-0.205704409286535
"93",461,0.0316853288793786,0.993723937138381,0.917585385053999,0.148622907926897,-0.102174975740825,-0.591676578646914
"94",466,0.0278022801848593,0.995803743556952,0.936547516209668,0.142379288599389,-0.00664338258974606,-0.460753562925488
"95",471,0.0286863529535648,0.996209504753826,0.932447959719976,0.14053671386537,0.0239897302060387,-0.423190072394113
"96",476,0.028363121759464,0.996956150716997,0.933961704686144,0.134840986785127,0.105868980120829,-0.310168522775051
"97",481,0.026877101846964,0.997860931812672,0.940700276362404,0.138461831535126,0.0618125779532903,-0.381476370970548
"98",486,0.0235306795148392,0.998815869575816,0.95454760910249,0.125897910674639,0.228158412112251,-0.142142685334389
"99",491,0.0191113923575658,0.999519313534494,0.970017181714089,0.155308068416808,-0.168773222388445,-0.738086369405038
"100",496,0.0180997253450982,0.99983832142459,0.973107463623443,0.177374616027537,-0.516930046924428,-1.26707690961089
